"sys_SequentialRespondentNumber","compcode","workerid","sys_StartTime","sys_EndTime","sys_ElapsedTime","sys_InternalRespNum","sys_CBCVersion_CBC","user","mtwid","consent1_1","consent2_1","consent3_1","pastbuyer","futurebuyer","primarybuyer","quota","CarMake","CarModel","VehicleOwnership","dailyvmt","annualvmt","carsizeselect","carimagesmall","carimagemid","carimagelarge","Topcarsmall_1","Topcarsmall_2","Topcarsmall_3","Topcarsmall_4","Topcarsmall_5","Topcarsmall_6","Topcarsmall_7","Topcarsmall_8","Topcarmid_1","Topcarmid_2","Topcarmid_3","Topcarmid_4","Topcarmid_5","Topcarmid_6","Topcarmid_7","Topcarmid_8","Topcarlarge_1","Topcarlarge_2","Topcarlarge_3","Topcarlarge_4","Topcarlarge_5","Topcarlarge_6","Topcarlarge_7","Topcarlarge_8","CBCFIX1","CBCRAN1","CBCRAN2","CBCRAN3","CBCRAN4","CBCRAN5","CBCRAN6","CBCRAN7","CBCRAN8","CBCRAN9","CBCRAN10","CBCRAN11","CBCRAN12","CBCRAN13","CBCRAN14","CBCRAN15","productuseratings_r1","productuseratings_r2","productuseratings_r3","productuseratings_r4","productuseratings_r5","productuseratings_r6","EnvLifeRatings_r1","EnvLifeRatings_r2","EnvLifeRatings_r3","EnvLifeRatings_r4","DrivingTypeExper_1","DrivingTypeExper_2","DrivingTypeExper_3","DrivingTypeExper_4","DrivingTypeExper_5","consideration_1","consideration_2","consideration_3","consideration_4","consideration_5","parkingHomeGarage","parkingHomeStructure","parkingHomeDriveway","parkingHomeStreet","parkingHomeOther","slowchargingaccess_1","slowchargingaccess_2","slowchargingaccess_3","slowchargingaccess_4","slowchargingaccess_5","slowchargingaccess_6","slowchargingaccess_7","slowchargingaccess_8","slowchargingaccess_9","fastchargingaccess","brandrank1","brankrank2","brandrank3","maintenance","income","sex","householdsize","YOB","zipcode","education","children","marriage","sys_RespStatus","sys_DispositionCode","sys_UserAgent","sys_Browser","sys_OperatingSystem","sys_IPAddress","sys_UserJavaScript","comments"
71,"","",2012-10-25 23:25,2012-10-25 23:26,91,414,,"3f2jk9","",1,1,1,3,4,1,-1,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,4,,"Mozilla/5.0 (Windows NT 6.0; WOW64; rv:16.0) Gecko/20100101 Firefox/16.0","Firefox 16.0","Windows Vista","173.78.52.137",1,""
72,"320133179","A29QQRC3SWZGTH",2012-11-1 11:56,2012-11-1 12:05,552,459,96,"3f2jk9","",1,1,1,2,4,1,1,11,"Tuscon",3,9,6,1,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,1,1,1,2,1,1,2,2,1,1,3,3,5,5,5,5,2,4,4,3,3,3,1,0,0,0,0,1,0,0,0,0,3,7,3,7,7,1,0,0,0,0,0,0,0,0,2,11,10,6,2,10,2,3,36,"15122",5,2,2,5,,"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)","MSIE 9.0","Windows NT 6.1","108.17.75.35",1,""
73,"829876613","A5Y5D3XPOQCR6",2012-10-28 23:32,2012-10-28 23:41,562,450,87,"3f2jk9","",1,1,1,3,2,1,3,8,"explorer",3,6,10,2,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,2,1,2,1,1,1,2,2,1,1,2,2,2,2,4,5,5,5,2,3,4,3,4,3,1,0,0,0,0,0,2,3,0,0,4,1,3,3,1,1,0,3,0,0,0,0,0,0,2,8,6,9,1,10,1,2,38,"79410",5,2,1,5,,"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)","MSIE 9.0","Windows NT 6.1","75.110.183.243",1,"awesome survey thank you"
74,"821083747","A152E5TMADTO34",2012-11-1 09:37,2012-11-1 09:51,865,458,95,"3f2jk9","",1,1,1,2,3,1,1,10,"Insight",3,3,7,2,,5,,,,,,,,,,5,,,,,,,,,,,,,,,,2,1,2,2,2,2,1,1,2,3,3,2,3,3,3,1,4,5,5,5,4,3,2,3,4,4,1,2,0,0,0,1,2,3,4,0,2,1,2,4,1,1,0,3,0,0,0,0,0,0,2,19,10,24,1,9,2,5,39,"17408",3,4,2,5,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_8) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.90 Safari/537.1","Chrome 21.0.1180.90","Macintosh","173.245.64.191",1,""
75,"846522307","A1N7LUWDVHZ72I",2012-10-29 21:12,2012-10-29 21:32,1192,455,92,"3f2jk9","",1,1,1,2,3,3,2,11,"santa fe",3,3,9,1,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,2,1,3,2,2,2,1,1,3,1,1,3,1,5,3,5,5,4,5,4,3,4,4,0,0,0,0,5,0,0,0,0,5,3,1,5,3,1,1,0,0,0,0,0,0,0,0,3,10,11,21,5,7,2,2,36,"24019",3,1,2,5,,"Mozilla/5.0 (Windows NT 5.1; rv:16.0) Gecko/20100101 Firefox/16.0","Firefox 16.0","Windows XP","98.185.27.37",1,"thank you"
76,"121433450","ADGQ9NRM0VJWA",2012-10-26 20:40,2012-10-26 20:51,643,424,71,"3f2jk9","",1,1,1,3,2,1,3,1,"",3,10,10,3,,,8,,,,,,,,,,,,,,,,,8,,,,,,,,3,2,1,2,3,2,3,1,3,2,3,3,3,1,2,3,4,5,5,5,3,3,3,3,5,3,1,2,0,0,0,0,0,3,0,0,4,7,4,7,7,0,0,3,0,0,0,0,0,0,3,10,8,17,3,12,2,5,52,"28454",3,1,1,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","Chrome 22.0.1229.94","Windows NT 6.1","71.48.21.250",1,""
77,"505313256","A3FCAPBJXW0ZAA",2012-10-25 22:37,2012-10-25 22:55,1095,411,58,"3f2jk9","",1,1,1,3,3,1,5,10,"CRV",2,3,4,1,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,2,2,2,1,1,3,2,2,1,2,1,3,2,5,4,5,4,3,5,4,3,4,4,1,0,0,0,0,1,2,3,4,0,2,3,2,2,1,1,0,3,0,0,0,0,0,0,3,10,21,14,3,2,2,2,32,"84414",3,2,4,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:16.0) Gecko/20100101 Firefox/16.0","Firefox 16.0","Windows NT 6.1","67.2.98.179",1,""
78,"348674292","A1TNOYRQG5VT7D",2012-10-27 16:11,2012-10-27 16:31,1259,431,78,"3f2jk9","",1,1,1,2,2,1,1,16,"Eclipse",4,7,9,2,,8,,,,,,,,,,8,,,,,,,,,,,,,,,,2,2,3,2,3,1,1,2,3,3,3,3,1,1,1,1,5,5,5,5,4,3,4,2,3,3,1,2,0,0,0,1,2,3,0,0,3,6,6,1,4,1,0,3,0,5,0,0,0,0,2,15,16,9,4,4,1,6,47,"72634",3,2,3,5,,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","Chrome 22.0.1229.94","Windows XP) AppleWebKit/537.4 (KHTML, like Gecko","70.129.187.188",1,""
79,"","",2012-10-26 04:59,2012-10-26 05:04,287,418,,"3f2jk9","",1,1,1,3,3,2,-1,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,4,,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","Chrome 22.0.1229.94","Windows XP) AppleWebKit/537.4 (KHTML, like Gecko","50.73.251.17",1,""
80,"334611462","A140WG64SM4I6I",2012-10-25 23:27,2012-10-25 23:38,664,415,62,"3f2jk9","",1,1,1,3,3,1,5,8,"F150",2,5,5,3,,,8,,,,,,,,,,,,,,,,,8,,,,,,,,2,1,1,2,1,3,2,1,2,2,2,1,2,1,3,2,3,5,5,5,5,5,5,2,2,1,1,0,0,0,0,1,0,0,0,0,4,7,6,6,7,1,0,0,0,0,0,0,0,0,1,8,6,9,2,4,1,1,48,"34210",4,1,1,5,,"Mozilla/5.0 (Windows NT 6.0; WOW64; rv:16.0) Gecko/20100101 Firefox/16.0","Firefox 16.0","Windows Vista","173.78.52.137",1,""
81,"485633482","A32B7UIG2JNIJV",2012-10-30 16:32,2012-10-30 16:43,621,456,93,"3f2jk9","",1,1,1,3,2,1,3,6,"Malibu",2,2,4,1,7,,,7,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,3,1,3,1,2,1,2,3,3,2,3,2,3,5,4,5,4,2,5,5,2,4,4,1,2,0,0,0,1,2,3,4,0,3,1,3,1,3,1,0,0,0,0,0,0,0,0,1,7,9,8,1,11,1,2,37,"92019",2,1,3,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.52 Safari/537.11","Chrome 23.0.1271.52","Windows NT 6.1","72.192.173.159",1,""
82,"510754125","A1DQ6BA4442W09",2012-10-29 02:40,2012-10-29 02:49,556,451,88,"3f2jk9","",1,1,1,3,2,3,4,17,"Altima",3,9,9,1,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,2,2,3,3,1,1,3,1,2,2,1,2,1,5,4,4,4,3,3,2,2,2,2,1,2,0,0,0,1,2,3,0,0,3,1,5,3,1,1,0,3,0,0,0,0,0,0,3,17,21,19,4,8,1,3,43,"78664",4,2,3,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","Chrome 22.0.1229.94","Windows NT 6.1","72.182.93.36",1,""
83,"792306258","A3H02WKGNCFPUA",2012-10-25 22:56,2012-10-25 23:10,860,412,59,"3f2jk9","",1,1,1,3,3,1,5,10,"CRV",2,7,7,1,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,3,3,1,3,1,2,3,3,3,1,3,3,2,5,5,5,5,1,4,2,2,2,3,1,0,0,0,0,1,0,0,0,0,1,1,5,3,1,0,0,3,0,0,0,0,0,0,3,10,21,1,4,2,2,2,33,"83401",5,2,4,5,,"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; WOW64; Trident/5.0; FunWebProducts; yie9)","MSIE 9.0","Windows Vista","174.126.61.129",1,""
84,"832059747","A3CQTXKK49U7JE",2012-10-27 18:57,2012-10-27 19:08,661,442,79,"3f2jk9","",1,1,1,2,4,1,1,17,"Murano",2,3,2,1,6,,,6,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,2,3,2,1,3,2,3,3,2,1,1,2,5,5,4,4,1,5,4,3,4,4,1,0,0,0,0,1,2,3,4,0,2,1,4,1,6,0,0,0,0,0,0,0,0,0,2,22,17,21,4,5,2,2,44,"64037",3,2,1,5,,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","Chrome 22.0.1229.94","Windows NT 6.1) AppleWebKit/537.4 (KHTML, like Gecko","69.27.195.166",1,""
85,"245310909","A1NCADLRY1LJR0",2012-10-29 13:07,2012-10-29 13:20,735,452,89,"3f2jk9","",1,1,1,3,3,1,5,6,"silverado",2,7,5,1,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,3,2,3,1,2,2,1,2,2,2,1,3,4,4,5,4,3,4,4,3,4,4,0,2,0,0,0,1,0,0,0,0,2,3,4,2,7,1,0,0,0,5,0,7,0,0,3,6,21,11,3,6,1,2,37,"75501",4,2,2,5,,"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)","MSIE 9.0","Windows NT 6.1","67.61.125.172",1,"Thank you for survey thought it was intresting to see different choices"
86,"670943479","A002544014QZD5R95DO75",2012-10-26 12:45,2012-10-26 12:57,711,420,67,"3f2jk9","",1,1,1,3,2,3,4,14,"B2500",3,4,9,3,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,2,2,1,2,2,2,3,3,1,2,1,2,3,1,2,2,5,4,5,5,4,4,3,3,5,5,1,2,0,0,0,1,2,3,4,0,2,1,3,4,1,1,0,0,0,0,0,0,0,0,2,8,6,10,3,10,,2,44,"28379",5,1,2,5,,"Mozilla/5.0 (Windows NT 5.1; rv:14.0) Gecko/20100101 Firefox/14.0.1","Firefox 14.0.1","Windows XP","152.26.230.50",1,"I am a car guy, so I found this to be an awesome survey.  One of my deciding factors was manufacturing county, so I maybe would add a question about that decision."
87,"","",2012-9-25 21:37,2012-9-25 21:37,0,390,,"3f2jk9","",,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,2,,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1","Chrome 21.0.1180.89","Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko","24.151.197.235",1,""
88,"","",2012-10-6 22:45,2012-10-6 22:48,175,408,55,"3f2jk9","",1,1,1,2,2,1,1,10,"",3,5,9,2,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,2,2,1,3,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,2,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.79 Safari/537.4","Chrome 22.0.1229.79","Macintosh","67.253.177.231",1,""
89,"","",2012-10-25 21:22,2012-10-25 21:22,0,409,,"3f2jk9","",,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,2,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","Chrome 22.0.1229.94","Macintosh","71.199.96.220",1,""
90,"","A2YO685DRXOEOH",2012-9-26 07:59,2012-9-26 08:09,631,392,49,"3f2jk9","",1,1,1,3,2,1,3,21,"FJ Cruiser",2,2,9,2,,7,,,,,,,,,,7,,,,,,,,,,,,,,,,2,2,1,2,3,2,1,2,1,3,2,1,3,2,1,3,4,5,5,5,4,5,4,5,4,4,1,0,0,0,0,0,0,3,4,0,4,5,5,1,3,1,0,3,0,0,0,7,0,0,3,9,6,8,5,2,1,5,49,"91722",5,1,1,2,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_3) AppleWebKit/534.53.11 (KHTML, like Gecko) Version/5.1.3 Safari/534.53.10","Safari 534.53.10","Macintosh","75.83.16.58",1,"It was fun"
91,"","",2012-9-17 19:02,2012-9-17 19:02,0,17,,"3f2jk9","",,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,2,,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; InfoPath.1; .NET CLR 2.0.50727; .NET CLR 1.1.4322; MS-RTC LM 8; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)","MSIE 7.0","Windows XP","8.28.16.254",1,""
92,"","AST33WVZ5QC05",2012-9-19 23:23,2012-9-19 23:39,945,376,33,"3f2jk9","",1,1,1,3,2,1,3,21,"Avalon",3,2,1,2,,8,,,,,,,,,,8,,,,,,,,,,,,,,,,2,3,2,1,2,1,1,2,1,1,1,2,1,2,1,2,4,3,5,5,3,4,4,2,4,4,1,0,0,0,0,1,2,3,0,0,3,1,5,3,7,1,0,0,0,0,0,0,0,0,3,8,10,23,4,4,2,4,34,"20147",4,4,4,2,,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0.1","Firefox 15.0.1","Windows NT 6.1","71.171.90.24",1,""
93,"","",2012-9-17 20:47,2012-9-17 20:47,15,19,,"3f2jk9","",1,1,1,2,3,1,1,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,2,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1","Chrome 21.0.1180.89","Windows NT 6.1","75.74.198.200",1,""
94,"","",2012-9-18 02:22,2012-9-18 02:22,0,23,,"3f2jk9","",,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,2,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.82 Safari/537.1","Chrome 21.0.1180.82","Macintosh","72.182.2.156",1,""
95,"","",2012-10-26 23:48,2012-10-26 23:49,60,426,,"3f2jk9","",1,1,1,3,2,1,3,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,2,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","Chrome 22.0.1229.94","Windows NT 6.1","142.197.75.8",1,""
